iter	Logloss
0	0.6454595516
1	0.6060276427
2	0.5689515006
3	0.5421463358
4	0.5151976033
5	0.495185899
6	0.474183351
7	0.4586982891
8	0.4431009142
9	0.4316699964
10	0.4188776759
11	0.4092257956
12	0.4017477343
13	0.3932742385
14	0.3852579291
15	0.3798723918
16	0.3754968154
17	0.3708212566
18	0.3655396398
19	0.3611487812
20	0.3574546688
21	0.3543273836
22	0.3510357015
23	0.3490346953
24	0.3466979265
25	0.3443633265
26	0.3423723109
27	0.3404695617
28	0.3389409469
29	0.3373006705
30	0.3356978634
31	0.3344509599
32	0.3333172572
33	0.3323241164
34	0.3311454175
35	0.3303155747
36	0.3295630941
37	0.3287966903
38	0.3277833134
39	0.3270198112
40	0.3261837738
41	0.325554308
42	0.3248830682
43	0.3243619185
44	0.3238660072
45	0.3233641508
46	0.322717128
47	0.3222142564
48	0.321867889
49	0.321386413
50	0.3210406573
51	0.3206499966
52	0.3203388429
53	0.319998207
54	0.3195664693
55	0.3192108412
56	0.3188655176
57	0.3185134771
58	0.3182225832
59	0.3179355983
60	0.3176447162
61	0.3173676673
62	0.3170727046
63	0.3168557367
64	0.3166436222
65	0.3164527301
66	0.3162565872
67	0.3160757083
68	0.3158903489
69	0.3156885794
70	0.3154740265
71	0.3152727366
72	0.3151183437
73	0.3149331864
74	0.3146539957
75	0.3144700671
76	0.3143104002
77	0.3141060517
78	0.3139361396
79	0.3137779481
80	0.313652549
81	0.3134859098
82	0.3133852793
83	0.3131732147
84	0.3129965754
85	0.3128001537
86	0.3126357845
87	0.3124858463
88	0.3123931997
89	0.3122378181
90	0.312139941
91	0.3119884705
92	0.3118960861
93	0.3117626619
94	0.3116108476
95	0.3114395802
96	0.3113287908
97	0.3112083768
98	0.3110691167
99	0.3109877637
100	0.3109086746
101	0.3107730944
102	0.3106368602
103	0.3105330316
104	0.3104320769
105	0.3103489732
106	0.3101744317
107	0.3100518089
108	0.3099046559
109	0.3097805797
110	0.3096889199
111	0.3095477217
112	0.3094117708
113	0.3092529596
114	0.309079915
115	0.3088906656
116	0.3088201103
117	0.3086632998
118	0.3085591948
119	0.3084429547
120	0.3083363187
121	0.3082385768
122	0.3081488111
123	0.3080752056
124	0.3079657059
125	0.3078465595
126	0.3077745257
127	0.3076759629
128	0.3075768894
129	0.3074565669
130	0.3073190708
131	0.3072455864
132	0.3071962555
133	0.3071052228
134	0.3069959736
135	0.306961634
136	0.3068346378
137	0.3067851434
138	0.3067198158
139	0.3066591327
140	0.3065745923
141	0.3064855376
142	0.3063877275
143	0.3062992012
144	0.3061059998
145	0.3060097477
146	0.3059013919
147	0.3058345501
148	0.3056842754
149	0.3056050196
150	0.3054908998
151	0.3054164562
152	0.3053273994
153	0.3052529216
154	0.3052073827
155	0.3050920563
156	0.3049577577
157	0.3048925675
158	0.3047013636
159	0.304614546
160	0.3045258554
161	0.3044121849
162	0.304295605
163	0.3042291292
164	0.3041487371
165	0.3040664763
166	0.3039326405
167	0.3038331779
168	0.3037361971
169	0.3036829791
170	0.3035969489
171	0.3035068811
172	0.3034411466
173	0.303311085
174	0.3032340709
175	0.3031330757
176	0.3029953852
177	0.3028797405
178	0.3027636425
179	0.3026084412
180	0.3025457343
181	0.3024664721
182	0.3024108007
183	0.3023035654
184	0.3021921
185	0.3020682133
186	0.3019654707
187	0.3018819725
188	0.3018270821
189	0.3017701722
190	0.301664052
191	0.3016036971
192	0.3015238584
193	0.30146634
194	0.3014187239
195	0.3012664104
196	0.3011780749
197	0.3010793504
198	0.3009865025
199	0.300905862
200	0.3008216377
201	0.3006940636
202	0.3006525031
203	0.3004990563
204	0.3004272089
205	0.3003112885
206	0.3002311064
207	0.3001513673
208	0.3000133375
209	0.299974749
