iter	Passed	Remaining
0	53	11185
1	65	6815
2	78	5442
3	90	4641
4	102	4197
5	116	3960
6	127	3697
7	140	3542
8	152	3405
9	164	3293
10	177	3214
11	189	3132
12	200	3043
13	213	2995
14	225	2928
15	238	2891
16	251	2851
17	262	2798
18	274	2763
19	287	2727
20	300	2701
21	312	2668
22	324	2639
23	337	2614
24	349	2584
25	360	2550
26	372	2525
27	383	2490
28	395	2469
29	407	2445
30	418	2418
31	430	2393
32	442	2373
33	452	2344
34	464	2320
35	476	2300
36	486	2273
37	498	2255
38	511	2241
39	523	2223
40	534	2201
41	546	2185
42	559	2174
43	572	2160
44	584	2142
45	597	2130
46	611	2119
47	623	2104
48	635	2087
49	648	2074
50	660	2059
51	672	2043
52	684	2026
53	697	2013
54	710	2002
55	723	1988
56	736	1976
57	748	1962
58	761	1949
59	773	1934
60	785	1917
61	797	1902
62	809	1889
63	821	1873
64	834	1862
65	847	1848
66	859	1834
67	872	1822
68	883	1805
69	896	1793
70	908	1778
71	920	1764
72	932	1749
73	943	1734
74	957	1723
75	969	1709
76	980	1692
77	1022	1731
78	1034	1715
79	1043	1696
80	1054	1679
81	1067	1665
82	1077	1648
83	1089	1634
84	1101	1620
85	1114	1606
86	1126	1592
87	1139	1580
88	1151	1564
89	1165	1553
90	1176	1538
91	1188	1523
92	1200	1510
93	1211	1494
94	1224	1482
95	1238	1470
96	1249	1455
97	1261	1441
98	1273	1427
99	1285	1414
100	1298	1401
101	1308	1385
102	1320	1372
103	1332	1358
104	1343	1343
105	1354	1329
106	1367	1316
107	1377	1301
108	1389	1287
109	1403	1275
110	1413	1260
111	1425	1247
112	1437	1234
113	1450	1221
114	1463	1208
115	1475	1195
116	1487	1182
117	1500	1170
118	1512	1156
119	1523	1142
120	1534	1128
121	1546	1115
122	1557	1101
123	1568	1087
124	1580	1074
125	1592	1061
126	1602	1047
127	1614	1034
128	1626	1021
129	1638	1008
130	1650	995
131	1663	982
132	1674	969
133	1687	956
134	1699	944
135	1710	930
136	1723	918
137	1734	904
138	1746	891
139	1763	881
140	1774	868
141	1787	855
142	1798	842
143	1809	829
144	1823	817
145	1834	804
146	1847	791
147	1859	778
148	1870	765
149	1884	753
150	1899	742
151	1910	729
152	1923	716
153	1934	703
154	1946	690
155	1959	678
156	1971	665
157	1982	652
158	1994	639
159	2006	626
160	2018	614
161	2029	601
162	2041	588
163	2054	576
164	2065	563
165	2077	550
166	2091	538
167	2103	525
168	2115	513
169	2126	500
170	2136	487
171	2148	474
172	2161	462
173	2174	449
174	2186	437
175	2197	424
176	2210	412
177	2222	399
178	2233	386
179	2247	374
180	2258	361
181	2269	349
182	2282	336
183	2293	324
184	2304	311
185	2317	299
186	2328	286
187	2340	273
188	2354	261
189	2364	248
190	2377	236
191	2387	223
192	2398	211
193	2410	198
194	2421	186
195	2433	173
196	2445	161
197	2456	148
198	2467	136
199	2478	123
200	2488	111
201	2502	99
202	2512	86
203	2525	74
204	2536	61
205	2550	49
206	2563	37
207	2576	24
208	2592	12
209	2604	0
